,사용자발화,엔진결과_module,엔진결과_intent_id,엔진결과_intent_title,엔진결과_confidence
2040,690101-1123456,PersonalInfoAdapter,IT-PERSONAL,개인정보 메시지,1.0
2041,안녕하세요,DialogAdapter,IT-0018,환영인사,1.0
2042,불법주정차 신고 촬영 방법 안내,DialogAdapter,IT-0193,불법주정차 신고 촬영 방법 안내,0.8333333333333336
2043,이용 안내,DialogAdapter,IT-0179,도움말 요청,0.9999999999999998
2044,의견보내기,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2045,전화,DialogAdapter,IT-0158,유선전화 신고 문의,0.7071067811865475
2046,의견보내기,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2047,의견보내기,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2048,의견보내기,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2049,의견보내기,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2050,ㅇㅇㄹ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2051,신고 하러 가기,DialogAdapter,IT1607320056137001,안전 신고 유형 안내,0.7071067811865475
2052,의견보내기,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2053,의견보내기,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2054,의견보내기,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2055,의견보내기,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2056,의견보내기,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2057,의견보내기,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2058,사회적 거리두기,DialogAdapter,IT1607322793809001,밀폐·밀집·밀접이 일어난 경우 신고 안내,1.0
2059,의견보내기,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2060,네,DialogAdapter,IT1632897711145001,네,1.0
2061,백신,DialogAdapter,IT-0242,코로나19 치료법 문의,1.0
2062,도와줘,DialogAdapter,IT-0179,도움말 요청,1.0
2063,이륜차 불법 개조,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.6666666666666669
2064,출입자 관리 위반  마스크 미착용 신고 안내,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",0.9258200997725515
2065,익명,DialogAdapter,IT1610012062520001,익명보장 확인,0.7071067811865475
2066,신고 익명가능한가요?,DialogAdapter,IT-0020,신고 안내,0.816496580927726
2067,안전,DialogAdapter,IT-0034,국민안전행동요령,0.7071067811865475
2068,ㅇㅎㅎ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2069,주정차,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
2070,안전기준위반,DialogAdapter,IT1607320056137001,안전 신고 유형 안내,0.6666666666666669
2071,뭔소리니,DialogAdapter,IT1607320479310001,기타 생활불편 신고 안내,1.0
2072,신호등이 고장났어요,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,1.0
2073,화이자,DialogAdapter,IT-0242,코로나19 치료법 문의,1.0
2074,코로나 확진자 수,DialogAdapter,IT-0224,코로나 발생동향,1.0000000000000002
2075,□□□,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2076,도로 불법 적치물 신고는 어떻게 해?,DialogAdapter,IT1607320479310001,기타 생활불편 신고 안내,0.8944271909999159
2077,신호등 고장신고는 어떻개 해?,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,1.0000000000000002
2078,<자동차 선별 진료소 >,DialogAdapter,IT1604366509372001,코로나19 선별진료소 문의,0.816496580927726
2079,국민 안심병원 좀 알려줘,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2080,하 라,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.7559289460184544
2081,내 주변 코로나 안심 진료소,DialogAdapter,IT1604366509372001,코로나19 선별진료소 문의,0.6324555320336758
2082,도로에 위험한 물건 신고는 어떻게 해?,DialogAdapter,IT1607320479310001,기타 생활불편 신고 안내,1.0
2083,안정한 심복,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2084,안녕하세요 안심 법,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2085,안심 봇 안녕,DialogAdapter,IT-0018,환영인사,0.6666666666666669
2086,불법 주차는 어떻게 신고해?,DialogAdapter,IT-0022,불법주정차 신고 대상,0.8660254037844388
2087,한신 본 안녕,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2088,안녕 안 친 봇,DialogAdapter,IT-0018,환영인사,0.7071067811865475
2089,어디살아,DailyDialogAdapter,IT1603690040999001,주소,0.9999999999999998
2090,넌바보야,DailyDialogAdapter,IT1603760057589001,멍청하다,0.816496580927726
2091,출입자 관리 위반  마스크 미착용 신고 안내,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",0.9258200997725515
2092,출입자 관리 위반  마스크 미착용 신고내용 작성요령,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",0.816496580927726
2093,사랑해,DailyDialogAdapter,IT1603680369734001,사랑해,0.9999999999999998
2094,너 몇살이야,DailyDialogAdapter,IT1603680962581001,나이,1.0
2095,끝,DialogAdapter,IT-0019,종료인사,1.0
2096,시작,DialogAdapter,IT-0018,환영인사,1.0
2097,화재,DialogAdapter,IT-0059,화재 국민안전행동요령,1.0
2098,불법광고,DialogAdapter,IT1606898609134001,불법광고물 신고 안내,0.816496580927726
2099,버스정류장,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.816496580927726
2100,하이루,DialogAdapter,IT-0018,환영인사,1.0
2101,하이,DialogAdapter,IT-0018,환영인사,1.0
2102,방가,DialogAdapter,IT-0018,환영인사,1.0
2103,고마워,DailyDialogAdapter,IT1603712928903001,고마워,1.0
2104,잘있어,DialogAdapter,IT-0019,종료인사,0.9999999999999998
2105,안녕,DialogAdapter,IT-0018,환영인사,1.0
2106,백신 맞으면 집합금지,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내,0.816496580927726
2107,3명도 집합금지 안되나요?,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내,0.816496580927726
2108,치맥한잔하려는데 지금 옆테이블 5명인듯,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내,0.9999999999999999
2109,식당 4명이상 앉아 있음,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내,1.0000000000000002
2110,치킨집 4명이상,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내,0.7071067811865475
2111,코로나 의심 환자 신고,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.7071067811865475
2112,불,DialogAdapter,IT-0066,산불 국민안전행동요령,0.7071067811865475
2113,아 시끄러워,DialogAdapter,IT1607320479310001,기타 생활불편 신고 안내,1.0
2114,테러리스트가 지금 지하철에서 불을 지르고 있어요,DOUB API,IT-0056,지하철 사고 국민안전행동요령,1.0
2115,탈레반이 지금 지하철에서 불을 지르고 있어요,DOUB API,IT-0056,지하철 사고 국민안전행동요령,1.0
2116,중동,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2117,^^;;,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2118,한강에 폐수 방류,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,0.816496580927726
2119,강물,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,0.7071067811865475
2120,강물에 누가 오물을,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,0.9999999999999998
2121,강에 독을 타고있는데,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,0.9999999999999998
2122,테러리스트가 강에 독을 타고 있는데,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,0.816496580927726
2123,테러리스트를 도웁시다,DOUB API,IT-0082,테러 국민안전행동요령,1.0
2124,외계인은 존재하나요?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2125,UFO,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2126,지금 서울 상공에 UFO가...,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2127,탈레반,DialogAdapter,IT1620715040970001,비긴급 신고,1.0
2128,군인들이 총을 들고 쿠테타를,DialogAdapter,IT1620290343011001,긴급 신고,1.0
2129,칼을 든 미친놈이,DialogAdapter,IT1620290343011001,긴급 신고,1.0
2130,총을 든 미친놈이!,DialogAdapter,IT1620290343011001,긴급 신고,1.0
2131,총을든 미친놈이,DialogAdapter,IT1620290343011001,긴급 신고,1.0
2132,총을 든 테러리스트가 강남한복판에,DOUB API,IT-0082,테러 국민안전행동요령,1.0
2133,칼,DialogAdapter,IT1620290343011001,긴급 신고,1.0
2134,강도,DialogAdapter,IT1620290343011001,긴급 신고,1.0
2135,사람이 물에 빠짐,DialogAdapter,IT1620290343011001,긴급 신고,0.9999999999999998
2136,낚시,DialogAdapter,IT-0100,낚시 안전 국민안전행동요령,1.0
2137,물에 냄새가....,DialogAdapter,IT-0051,식용수 오염 국민안전행동요령,0.9999999999999998
2138,수돗물 냄새가 이상함,DialogAdapter,IT-0051,식용수 오염 국민안전행동요령,0.816496580927726
2139,집에 녹물이 나오는데...,DialogAdapter,IT-0051,식용수 오염 국민안전행동요령,0.9999999999999998
2140,님 대답좀...,DailyDialogAdapter,IT1603702599256001,대답,1.0000000000000002
2141,너나 사랑해?,DailyDialogAdapter,IT1603703415169001,좋아하는 계절,0.8660254037844388
2142,와,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2143,!가!,DialogAdapter,IT-0019,종료인사,0.7071067811865475
2144,살려줘!,DialogAdapter,IT1620290343011001,긴급 신고,1.0
2145,도와줘!,DialogAdapter,IT-0179,도움말 요청,1.0
2146,괜찮으세요?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2147,헛...,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2148,좋아해?,DailyDialogAdapter,IT1603703415169001,좋아하는 계절,0.816496580927726
2149,무슨 드라마 좋아해?,DailyDialogAdapter,IT1603701233540001,좋아하는 노래,0.75
2150,ㄱ,DailyDialogAdapter,IT1603702611549001,소개팅,0.8944271909999159
2151,ㅁ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2152,ㅆ1발,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2153,hi,DialogAdapter,IT-0018,환영인사,1.0
2154,안산봇,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2155,문재인,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2156,넌 이름이 뭐니?,DailyDialogAdapter,IT1603676784264001,이름,0.8660254037844388
2157,내 이름은 김광수야,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2158,데헷,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2159,hello,DialogAdapter,IT-0018,환영인사,1.0
2160,hi,DialogAdapter,IT-0018,환영인사,1.0
2161,헬로우,DialogAdapter,IT-0018,환영인사,1.0
2162,안녕,DialogAdapter,IT-0018,환영인사,1.0
2163,만나서 반가워 나는 광수라고해,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2164,홍수가 났어요,DOUB API,IT-0036,태풍 호우 국민안전행동요령,1.0
2165,천둥번개가 무서유ㅓ요,DialogAdapter,IT-0037,낙뢰 국민안전행동요령,0.816496580927726
2166,무서워요,DailyDialogAdapter,IT1603700857157001,미침,1.0
2167,번개가 쳐요,DialogAdapter,IT-0037,낙뢰 국민안전행동요령,1.0
2168,확진자,DialogAdapter,IT-0224,코로나 발생동향,0.7071067811865475
2169,근처에 선별 진료소,DialogAdapter,IT1604366509372001,코로나19 선별진료소 문의,0.816496580927726
2170,백신,DialogAdapter,IT-0242,코로나19 치료법 문의,1.0
2171,코로나,DialogAdapter,IT-0029,코로나19,1.0
2172,병원,DialogAdapter,IT1604366509372001,코로나19 선별진료소 문의,1.0
2173,재난,DialogAdapter,IT-0035,자연재난 국민안전행동요령,1.0
2174,주차,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
2175,주치신고,DialogAdapter,IT-0020,신고 안내,0.7071067811865475
2176,장애인구역주차,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내,0.9428090415820636
2177,로그인,DialogAdapter,IT1610008901644001,자동로그인 설정,0.7071067811865475
2178,회원 정보,DialogAdapter,IT1610011674292001,안전보안관 회원정보수정,0.816496580927726
2179,답변 봤습니다 경주서 유일한 화장터라고 했는데... 하늘마루였습니다  이미 3단계였던걸로 압니다,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2180,빅스비 사용법,DialogAdapter,IT1633660356212001,타채널 이용 문의,0.7071067811865475
2181,방역 수칙 위반 신고,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,1.0
2182,그냥 고맙습니다,DailyDialogAdapter,IT1603712928903001,고마워,0.816496580927726
2183,집옆공장소음,DialogAdapter,IT1620715040970001,비긴급 신고,1.0
2184,지난6월에 신고 했는데 전혀 개선이 안되고있습니다,DialogAdapter,IT-0154,신고 처리 결과 불만족,0.9999999999999998
2185,지금 대전 코로나 지금 대전 코로나 몇,DOUB API,IT-0029,코로나19,1.0
2186,지금,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2187,지금 충남 코로나 몇 단계인가요,DialogAdapter,IT-0225,코로나 뉴스 안내,0.7071067811865475
2188,회원 문의,DialogAdapter,IT1610004799773001,회원 문의,1.0
2189,신고시 앱 정지 오류,DialogAdapter,IT1610011355905001,신고시 앱 정지 오류,0.8660254037844388
2190,지주하는 질문,DialogAdapter,IT1610012191677001,자주하는질문,0.7071067811865475
2191,업데이트 알림이 있을경우 꼭 업데이트 해야 하나요?,DialogAdapter,IT-0161,앱 업데이트 문의,0.95
2192,앱알림끄기,DialogAdapter,IT1610010573778001,앱 알림 거부 문의,1.0
2193,거리두기 위반 신고는 어디에 하나요?,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",1.0000000000000002
2194,신고는 전화로 어디에 하나요?,DialogAdapter,IT-0020,신고 안내,0.7071067811865475
2195,아파트앞에 정자에 7-8명이 모여서 떠들고 있는데 위반아닌가요?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2196,사회적 거리두기에서 4인이상 사적모임 가능한가요?,DOUB API,IT1607322793809001,밀폐·밀집·밀접이 일어난 경우 신고 안내,1.0
2197,신고,DialogAdapter,IT-0020,신고 안내,1.0
2198,신고,DialogAdapter,IT-0020,신고 안내,1.0
2199,안녕,DialogAdapter,IT-0018,환영인사,1.0
2200,불편신고,DialogAdapter,IT1606892768439001,생활불편신고 유형 안내,0.816496580927726
2201,심심해,DailyDialogAdapter,IT1603695848391001,심심함,0.9999999999999998
2202,나빠,DailyDialogAdapter,IT1603760058457001,너무해,1.0
2203,안녕,DialogAdapter,IT-0018,환영인사,1.0
2204,신고,DialogAdapter,IT-0020,신고 안내,1.0
2205,코로나19,DialogAdapter,IT-0029,코로나19,1.0
2206,사진첨부,DialogAdapter,IT1610011153358001,신고 사진 선택 불가 문의,0.816496580927726
2207,중앙로3길53  비동 건믈잎입니다,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2208,의견 보내기,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2209,의견보내기,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2210,의견보내기,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2211,어린이보호구역  제한속도,DialogAdapter,IT1631846314405001,어린이보호구역 제한속도,0.96
2212,가을 장마,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,0.7071067811865475
2213,회원정보 변경,DialogAdapter,IT1610011674292001,안전보안관 회원정보수정,1.0
2214,미안,DailyDialogAdapter,IT1603712941874001,미안해,1.0
2215,바보,DailyDialogAdapter,IT1603760057589001,멍청하다,1.0
2216,강서구청 주차단속 출동 요청,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.7071067811865477
2217,진입구간 주차로인한 진입불가 신고대상 아닙니까?,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
2218,횡단보도위 주차 신고대상 아닙니까?,DialogAdapter,IT1607321097021001,횡단보도 불법주정차 신고 안내,0.8944271909999159
2219,뭐해?,DialogAdapter,IT-0179,도움말 요청,1.0
2220,왜,DOUB API,IT1631086105335001,불법 주정차 신고 사진 1분 간격,1.0
2221,야,DialogAdapter,IT-0018,환영인사,1.0
2222,안신봇,DialogAdapter,IT-0018,환영인사,1.0
2223,신고방법,DialogAdapter,IT1620715040970001,비긴급 신고,0.816496580927726
2224,방법,DialogAdapter,IT-0179,도움말 요청,1.0
2225,신고요건,DialogAdapter,IT-0198,안전신고통계 보기,0.7071067811865475
2226,요건,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2227,가정집,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2228,가정집 모임은?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2229,코로나 방역 위반 신고입니다,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.8944271909999159
2230,자주하는 신고 문의,DialogAdapter,IT1610004713248001,자주하는 신고 문의,1.0
2231,앱,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2232,왜 1분,DialogAdapter,IT1631086105335001,불법 주정차 신고 사진 1분 간격,1.0
2233,1분,DialogAdapter,IT1631086105335001,불법 주정차 신고 사진 1분 간격,1.0
2234,사랑해,DailyDialogAdapter,IT1603680369734001,사랑해,0.9999999999999998
2235,안전신문고 홈페이지,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
2236,안전신문고 포털,DialogAdapter,IT-0019,종료인사,0.7071067811865475
2237,안전신문고 홈페이지,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
2238,안녕,DialogAdapter,IT-0018,환영인사,1.0
2239,안전신문고가 뭐야,DialogAdapter,IT-0023,안전신문고 소개,0.94
2240,신고접수,DialogAdapter,IT-0156,신고 취하,0.816496580927726
2241,신고 사진은 어떻게 올리는지,DialogAdapter,IT-0192,신고 촬영 방법 안내,0.9999999999999998
2242,불법 주정차,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.9999999999999998
2243,빅스비로 어떻게 신고해,DialogAdapter,IT1633660356212001,타채널 이용 문의,0.7071067811865475
2244,코로나뉴스,DialogAdapter,IT-0225,코로나 뉴스 안내,0.9999999999999998
2245,화재뉴스,DialogAdapter,IT-0216,안전 뉴스 보기,0.7071067811865475
2246,종료,DialogAdapter,IT-0019,종료인사,1.0
2247,코로나증상은,DialogAdapter,IT1615447411189001,코로나 유증상자 유의사항,0.91
2248,코로나접종은,DialogAdapter,IT-0029,코로나19,0.7071067811865475
2249,아녕하세요,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2250,안녕하세요,DialogAdapter,IT-0018,환영인사,1.0
2251,에너지과소비는어떤,DialogAdapter,IT1607320474688001,에너지 과소비 신고 안내,0.6666666666666669
2252,성범죄신고도되나요,DialogAdapter,IT-0020,신고 안내,0.7071067811865475
2253,청소년유해업소는,DialogAdapter,IT1607320470551001,청소년 유해 업소 신고 안내,0.93
2254,마일리지는뭐에요,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,0.7071067811865475
2255,어린이보호구역속도는,DialogAdapter,IT1631846314405001,어린이보호구역 제한속도,0.6666666666666669
2256,불법주차는 몇분초과인지,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
2257,전화번호는몇번이야,DialogAdapter,IT-0158,유선전화 신고 문의,0.6666666666666669
2258,안전신문고 캡슐,DialogAdapter,IT-0019,종료인사,0.7071067811865475
2259,안녕,DialogAdapter,IT-0018,환영인사,1.0
2260,도로 파손된 거 신고 하고 싶어,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.816496580927726
2261,앱 알림 거부 문의,DOUB API,IT1610010573778001,앱 알림 거부 문의,1.0
2262,앱 알림 거부 문의,DOUB API,IT1610010573778001,앱 알림 거부 문의,1.0
2263,불친절공무원,DailyDialogAdapter,IT1603700854547001,화남,0.9999999999999998
2264,불친절,DailyDialogAdapter,IT1603700854547001,화남,1.0
2265,오늘 오후6시 이후 식당에서  몇명까지 식사 가능하나요?,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내,0.93
2266,사진보세오,DialogAdapter,IT1610006675435001,일반 갤러리 사진으로 불법주정차 신고,0.7071067811865475
2267,사진보셍,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2268,인도에차대는게용납이않간다,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.9999999999999998
2269,전 건설회사,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2270,놀고있네,DialogAdapter,IT1620799745019001,응답 불만족,0.9999999999999998
2271,장난하시네요,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2272,뭐가요,DialogAdapter,IT-0019,종료인사,0.7071067811865475
2273,내,DialogAdapter,IT-0152,신고 내역 조회,0.7071067811865475
2274,참,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2275,북구청,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2276,누가,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2277,누가책임질거에ㅣ요,DialogAdapter,IT1620799745019001,응답 불만족,1.0
2278,잘못한경우.누가 책임을지는건가요,DialogAdapter,IT1620799745019001,응답 불만족,0.9999999999999998
2279,잘부탁드립니다 잘부탁드립니다,DialogAdapter,IT-0019,종료인사,0.7071067811865475
2280,잘부탁드립니다,DialogAdapter,IT-0019,종료인사,0.7071067811865475
2281,잘못되었다고,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2282,안전신문고 소개,DialogAdapter,IT-0023,안전신문고 소개,1.0
2283,할수있는게머야,DialogAdapter,IT-0179,도움말 요청,0.8944271909999159
2284,할줄아는게 뭐야,DialogAdapter,IT-0179,도움말 요청,0.6172133998483676
2285,무슨 일을 할수있니,DialogAdapter,IT-0179,도움말 요청,0.7071067811865475
2286,넌 누구니,DailyDialogAdapter,IT1603676784264001,이름,1.0000000000000002
2287,너무 더운데?,DialogAdapter,IT-0038,폭염 국민안전행동요령,0.7071067811865475
2288,비가 많이 와,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,1.0
2289,으라차,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2290,자가안전에대해 자세히알려줘,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2291,요번 이벤트에 대한설명이필요해^,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2292,안전신문고 전화번호,DialogAdapter,IT-0158,유선전화 신고 문의,0.6666666666666669
2293,문의는 어디에 해?,DialogAdapter,IT-0179,도움말 요청,1.0
2294,이런건 왜 만들었어,DOUB API,IT1631086105335001,불법 주정차 신고 사진 1분 간격,1.0
2295,신고가 불편해,DialogAdapter,IT-0020,신고 안내,0.7071067811865475
2296,불편,DialogAdapter,IT1606892768439001,생활불편신고 유형 안내,1.0
2297,쓰레기 같은 앱,DialogAdapter,IT1607320222804001,쓰레기·폐기물·유독물 신고 안내,0.7071067811865475
2298,폴백,DOUB API,IT1614242572100001,폴백,1.0
2299,안전정보,DialogAdapter,IT-0216,안전 뉴스 보기,0.9999999999999998
2300,신고안내,DialogAdapter,IT-0020,신고 안내,1.0
2301,안녕,DialogAdapter,IT-0018,환영인사,1.0
2302,트레이닝테스트블록,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2303,GPS,DialogAdapter,IT-0160,GPS 작동 오류,1.0
2304,어떤 일을 할 수 있어,DialogAdapter,IT-0179,도움말 요청,0.9999999999999998
2305,어떤 일을 할 수 있어,DialogAdapter,IT-0179,도움말 요청,0.9999999999999998
2306,유증 상자,DialogAdapter,IT1615447411189001,코로나 유증상자 유의사항,1.0
2307,다른 사람이 내 핸드폰 번호를 도용했어,DialogAdapter,IT1620715040970001,비긴급 신고,1.0
2308,뭐할 줄 알아,DialogAdapter,IT-0179,도움말 요청,0.91
2309,앱 사용이 너무 불편해,DialogAdapter,IT1620799745019001,응답 불만족,1.0000000000000002
2310,이런 앱은 왜 만들었어?,DOUB API,IT1631086105335001,불법 주정차 신고 사진 1분 간격,1.0
2311,차량 무단 폐기 신고,DialogAdapter,IT1607320479310001,기타 생활불편 신고 안내,1.0
2312,불법 차량 폐기 신고,DialogAdapter,IT1607320479310001,기타 생활불편 신고 안내,0.8944271909999159
2313,안전신문고 앱 신고 방법 알려 줘,DOUB API,IT-0219,안전 신고 절차,1.0
2314,이륜차 소음,DialogAdapter,IT1607320466288001,자전거·이륜차 방치 및 불편 신고 안내,1.0
2315,킥보드,DialogAdapter,IT1607320466288001,자전거·이륜차 방치 및 불편 신고 안내,0.816496580927726
2316,불법튜닝,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.9999999999999998
2317,굿모닝,DailyDialogAdapter,IT1603680592730001,아침인사,1.0
2318,안녕,DialogAdapter,IT-0018,환영인사,1.0
2319,대전 둔산동 날씨는?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2320,대전 둔산동 낭씨 알려줘,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2321,내가 몇 번 신고했어,DialogAdapter,IT1610415079894001,이의제기 문의,0.7071067811865475
2322,너는 여자야,DailyDialogAdapter,IT1603681305809001,성별,1.0000000000000002
2323,너 나이는 몇 살이야,DailyDialogAdapter,IT1603680962581001,나이,0.8944271909999159
2324,어린이 보호구역 속도는 어떻게 돼,DialogAdapter,IT1607321104145001,어린이보호구역 불법주정차 신고 안내,0.6666666666666669
2325,어린이 보호구역,DialogAdapter,IT1607321104145001,어린이보호구역 불법주정차 신고 안내,1.0
2326,지금 대전 날씨 알려줘,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2327,지,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2328,가을 장마에 대해서 설명해줘,DOUB API,IT-0036,태풍 호우 국민안전행동요령,1.0
2329,반가워,DialogAdapter,IT-0018,환영인사,1.0
2330,켜줘,DialogAdapter,IT1624933997476001,앱 웹 실행,0.816496580927726
2331,ㅁㄴㅇㄻ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2332,안전 신고 도우미 너는 어떤 일을 할 수 있어,DialogAdapter,IT-0179,도움말 요청,0.97
2333,소화전 신곡법 안내해,DialogAdapter,IT-0089,소화전 사용법 국민안전행동요령,0.6666666666666669
2334,공사장 크레인,DialogAdapter,IT1607320172233001,"건설, (해체)공사장 위험",1.0
2335,집단 면역,DialogAdapter,IT-0225,코로나 뉴스 안내,1.0
2336,마이크 누르고 집단 면역은 언제 가능한가요 아 누르고 하라고 요 옆에 괜찮아,DialogAdapter,IT-0225,코로나 뉴스 안내,0.6546536707079772
2337,오늘 세종시 폭염 주의보 내렸나요,DOUB API,IT-0038,폭염 국민안전행동요령,1.0
2338,내 주변 안전한 물놀이 시설 알려줘,DOUB API,IT-0104,물놀이 안전 국민안전행동요령,1.0
2339,오구글 리스트 숨김 테스트,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2340,반가워,DialogAdapter,IT-0018,환영인사,1.0
2341,ㅁㄴㅇㄻ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
2342,불 켜줘,DOUB API,IT-0059,화재 국민안전행동요령,1.0
2343,켜줘,DialogAdapter,IT1624933997476001,앱 웹 실행,0.816496580927726
2344,안전신고 본 너는 누구야,DailyDialogAdapter,IT1603676784264001,이름,1.0000000000000002
2345,안 신본 너는 누구야,DialogAdapter,IT-0018,환영인사,0.6123724356957946
2346,할 수 있어,DialogAdapter,IT-0179,도움말 요청,0.8660254037844388
